类型,作者,体裁,form_id,长度,清洗后文本,原始文本
最短,崔信明,其他,-1,6,枫落吴江冷。,楓落吳江冷。
最长,李瀚,长篇,-1,2980,王戎简要，裴楷清通。孔明卧龙，吕望非熊。杨震关西，丁宽易东。谢安高洁，王导公忠。匡衡凿壁，孙敬闭户。郅都苍鹰，宁成乳虎。周嵩狼抗，梁冀跋扈。郗超䫇参，王珣短簿。伏波标柱，博望寻河。李陵初诗，田横感歌。...,王戎簡要，裴楷清通。孔明臥龍，呂望非熊。楊震關西，丁寬易東。謝安高潔，王導公忠。匡衡鑿壁，孫敬閉戶。郅都蒼鷹，寧成乳虎。周嵩狼抗，梁冀跋扈。郗超䫇參，王珣短簿。伏波標柱，博望尋河。李陵初詩，田橫感歌。
五言绝句,陸龜蒙,五言绝句,0,24,裁得尺锦书，欲寄东飞凫。胫短翅亦短，雌雄恋菰蒲。,裁得尺錦書，欲寄東飛鳧。脛短翅亦短，雌雄戀菰蒲。
七言绝句,段成式,七言绝句,1,32,半岁愁中镜似荷，牵环撩鬓却须磨。花前不复抱瓶渴，月底还应琢刺歌。,半歲愁中鏡似荷，牽環撩鬢却須磨。花前不復抱瓶渴，月底還應琢刺歌。
五言律诗,李羣玉,五言律诗,2,48,云卧竟不起，少微空陨光。唯应孔北海，为立郑公乡。旧馆苔藓合，幽斋松菊荒。空余书带草，日日上阶长。,雲臥竟不起，少微空隕光。唯應孔北海，爲立鄭公鄉。舊館苔蘚合，幽齋松菊荒。空餘書帶草，日日上階長。
七言律诗,司空圖,七言律诗,3,64,自怜旅舍亦酣歌，世路无机奈尔何。霄汉逼来心不动，鬓毛白尽兴犹多。残阳暂照乡关近，远鸟因投岳庙过。闲得此身归未得，磬声深夏隔烟萝。,自憐旅舍亦酣歌，世路無機奈爾何。霄漢逼來心不動，鬢毛白盡興猶多。殘陽暫照鄉關近，遠鳥因投嶽廟過。閑得此身歸未得，磬聲深夏隔煙蘿。
长篇,皮日休,长篇,-1,216,艇子小且兀，缘湖荡白芷。萦纡泊一埼，宛到孤园寺。萝岛凝清阴，松门湛虚翠。寒泉飞碧螭，古木鬬苍兕。钟梵在水魄，楼台入云肆。岩边足鸣𧔢，树杪多飞鸓。香莎满院落，风泛金靃靡。静鹤啄柏蠹，闲猱弄榅䗁。小殿熏陆...,艇子小且兀，緣湖蕩白芷。縈紆泊一碕，宛到孤園寺。蘿島凝清陰，松門湛虛翠。寒泉飛碧螭，古木鬬蒼兕。鐘梵在水魄，樓臺入雲肆。巖邊足鳴𧔢，樹杪多飛鸓。香莎滿院落，風汎金靃靡。靜鶴啄柏蠹，閑猱弄榅䗁。小殿熏陸
其他,顏真卿,其他,-1,84,泛花邀坐客，代饮引情言。醒酒宜华席，留僧想独园。不须攀月桂，何假树庭萱。御史秋风劲，尚书北斗尊。流华净肌骨，疏瀹涤心原。不似春醪醉，何辞绿菽繁。素瓷传静夜，芳气满闲轩。,泛花邀坐客，代飲引情言。醒酒宜華席，留僧想獨園。不須攀月桂，何假樹庭萱。御史秋風勁，尚書北斗尊。流華淨肌骨，疏瀹滌心原。不似春醪醉，何辭綠菽繁。素瓷傳靜夜，芳氣滿閑軒。
噪声-过长,太宗皇帝,N/A,-1,80,执契静三边，持衡临万姓。玉彩辉关烛，金华流日镜。无为宇宙清，有美璇玑正。皎佩星连景，飘衣云结庆。戢武耀七德，升文辉九功。烟波澄旧碧，尘火息前红。霜野韬莲劒，关城,執契靜三邊，持衡臨萬姓。玉彩輝關燭，金華流日鏡。無爲宇宙清，有美璇璣正。皎佩星連景，飄衣雲結慶。戢武耀七德，昇文輝九功。煙波澄舊碧，塵火息前紅。霜野韜蓮劒，關城罷月弓。錢綴榆天合，新城柳塞空。花銷蔥嶺
噪声-过长,太宗皇帝,N/A,-1,80,二仪初创象，三才乃分位。非惟树司牧，固亦垂文字。緜代更膺期，芳图无辍记。炎汉承君道，英谟纂神器。潜龙既可跃，逵兔奚难致。前史殚妙词，后昆沈雅思。书言扬盛迹，补阙,二儀初創象，三才乃分位。非惟樹司牧，固亦垂文字。緜代更膺期，芳圖無輟記。炎漢承君道，英謨纂神器。潛龍既可躍，逵兔奚難致。前史殫妙詞，後昆沈雅思。書言揚盛跡，補闕興洪志。川谷猶舊途，郡國開新意。梅山未覺
